galaxy,filter,filename
ngc1566,F2100W,ngc1566/ngc1566_miri_lv3_f2100w_i2d_align.fits
#
ngc1672,F200W,ngc1672/ngc1672_nircam_lv3_f200w_i2d_align.fits
ngc1672,F300M,ngc1672/ngc1672_nircam_lv3_f300m_i2d_align.fits
ngc1672,F335M,ngc1672/ngc1672_nircam_lv3_f335m_i2d_align.fits
ngc1672,F360M,ngc1672/ngc1672_nircam_lv3_f360m_i2d_align.fits
ngc1672,F770W,ngc1672/ngc1672_miri_lv3_f770w_i2d_align.fits
ngc1672,F1000W,ngc1672/ngc1672_miri_lv3_f1000w_i2d_align.fits
ngc1672,F1130W,ngc1672/ngc1672_miri_lv3_f1130w_i2d_align.fits
ngc1672,F2100W,ngc1672/ngc1672_miri_lv3_f2100w_i2d_align.fits
#
ngc3627,F200W,ngc3627/ngc3627_nircam_lv3_f200w_i2d_align.fits
ngc3627,F300M,ngc3627/ngc3627_nircam_lv3_f300m_i2d_align.fits
ngc3627,F335M,ngc3627/ngc3627_nircam_lv3_f335m_i2d_align.fits
ngc3627,F360M,ngc3627/ngc3627_nircam_lv3_f360m_i2d_align.fits
ngc3627,F770W,ngc3627/ngc3627_miri_lv3_f770w_i2d_align.fits
ngc3627,F1000W,ngc3627/ngc3627_miri_lv3_f1000w_i2d_align.fits
ngc3627,F1130W,ngc3627/ngc3627_miri_lv3_f1130w_i2d_align.fits
ngc3627,F2100W,ngc3627/ngc3627_miri_lv3_f2100w_i2d_align.fits
#
ngc4303,F200W,ngc4303/ngc4303_nircam_lv3_f200w_i2d_align.fits
ngc4303,F300M,ngc4303/ngc4303_nircam_lv3_f300m_i2d_align.fits
ngc4303,F335M,ngc4303/ngc4303_nircam_lv3_f335m_i2d_align.fits
ngc4303,F360M,ngc4303/ngc4303_nircam_lv3_f360m_i2d_align.fits
ngc4303,F770W,ngc4303/ngc4303_miri_lv3_f770w_i2d_align.fits
ngc4303,F1000W,ngc4303/ngc4303_miri_lv3_f1000w_i2d_align.fits
ngc4303,F1130W,ngc4303/ngc4303_miri_lv3_f1130w_i2d_align.fits
ngc4303,F2100W,ngc4303/ngc4303_miri_lv3_f2100w_i2d_align.fits
#
ngc4321,F200W,ngc4321_v0p6/ngc4321_nircam_lv3_f200w_i2d_align.fits
ngc4321,F300M,ngc4321_v0p6/ngc4321_nircam_lv3_f300m_i2d_align.fits
ngc4321,F335M,ngc4321_v0p6/ngc4321_nircam_lv3_f335m_i2d_align.fits
ngc4321,F360M,ngc4321_v0p6/ngc4321_nircam_lv3_f360m_i2d_align.fits
ngc4321,F770W,ngc4321_v0p6/ngc4321_miri_lv3_f770w_i2d_align.fits
ngc4321,F1000W,ngc4321_v0p6/ngc4321_miri_lv3_f1000w_i2d_align.fits
ngc4321,F1130W,ngc4321_v0p6/ngc4321_miri_lv3_f1130w_i2d_align.fits
ngc4321,F2100W,ngc4321_v0p6/ngc4321_miri_lv3_f2100w_i2d_align.fits
#
ngc4535,F200W,ngc4535/ngc4535_nircam_lv3_f200w_i2d_align.fits
ngc4535,F300M,ngc4535/ngc4535_nircam_lv3_f300m_i2d_align.fits
ngc4535,F335M,ngc4535/ngc4535_nircam_lv3_f335m_i2d_align.fits
ngc4535,F360M,ngc4535/ngc4535_nircam_lv3_f360m_i2d_align.fits
ngc4535,F770W,ngc4535/ngc4535_miri_lv3_f770w_i2d_align.fits
ngc4535,F1000W,ngc4535/ngc4535_miri_lv3_f1000w_i2d_align.fits
ngc4535,F1130W,ngc4535/ngc4535_miri_lv3_f1130w_i2d_align.fits
ngc4535,F2100W,ngc4535/ngc4535_miri_lv3_f2100w_i2d_align.fits
#
# ngc7496
#
